ego.1	Soc
ego_female_wand.29	私が宿っているワンドの耐久力は…メモによると、今{0}です…。<br/>熟練度が高い{2}を頂ければ、<br/>精霊のリキュールと一緒に使うことで耐久力を回復できます…。<br/>良いアイテムを頂ければ…最大{1}まで上げられそうです。|{1}程度まで耐久力を上げることはできますが…、<br/>それは、熟練度の高い{2}を頂いた場合になります…。<br/>今の耐久力が{0}ですので…。<br/>よく考えてお決めになってくださいね。|{0}。これが…今私が宿っている武器の耐久力です。<br/>{1}まで回復できますが、<br/>それは{2}があるという前提になります。<br/>必ず、覚えておいてください…。|あの…熟練度の高い{2}さえ修理に使えるのでしたら…、<br/>{2}まで耐久力を上げられるはずです。<br/>今の耐久力は{1}…参考にして、よくお考えください…。
ego_female_wand.30	どのアイテムを修理に使いますか…？<br/>あまり迷うと、その…精神的によろしくないかと…。|はい、では…修理に使う武器をお選びになってください…。<br/>よく考えて選んでいただければ、と…。|修理に使う武器…用意できましたでしょうか…？|修理に使う武器を選んで頂きたく…。<br/>修理の成否が左右されるのは、<br/>まさに今…この瞬間ですので…。|修理に使う武器ですが…いかが致しましょう…？|…準備はよろしいでしょうか…？<br/><username/>さんも…準備できましたか…？<br/>それでは…修理に使う武器を…選んでください。
ego_female_wand.31	さきほど選んだ武器でしたら…、<br/>そうですね、{0}ポイントくらいまでは修理できそうです。<br/>そして、成功する確率は{1}%くらいですね。<br/>やってみますか…？|さきほど選んだ武器でしたら…、<br/>修理が成功する確率は{1}%ほどですね。<br/>{0}ポイントまでは修理できると思いますわ。|それを修理に使うのですね…？<br/>ええと…それでしたら、成功率は…{1}％ほどでしょうか…。<br/>…ポイント的には、{0}ポイントほど修理できますね。<br/>あ、ゆっくり考えてくださって結構ですよ。|…ええと…さきほど選んだ武器ですと、<br/>{0}ポイントくらい修理できそうですね…。<br/>…成功率は{1}％くらいかしら。<br/>…あの、このまま進めますか…？|今選んだ武器でしたら、成功する確率は…{1}％ですね。<br/>{0}ポイントほど修理できそうですが…。<br/>…決心がつきましたら、このまま修理しますが…？
ego_female_wand.32	<face name='good'/>ふふっ…やっぱり<username/>さんですね。<br/>お陰で、修理の難しそうな所まですべて直すことができました。|<face name='smile3'/>うふふ、ほら、きれいに直りました。<br/><username/>さんが、きちんと武器を選んでくれたおかげですね。|…っ…よし…。<br/>あの…修理、終わりました…ええ、全部です。<br/>熟練度の高い武器をいただけましたので…ありがとうございます。|<face name='good'/>ふふっ…修理がちゃんとできましたわ！<br/>これは、いい武器を用意してもらえたお陰ですね。|<face name='smile3'/>…はい、完璧に修理できましたよ。<br/>うまく修理できると、私もとっても嬉しいです…。
ego_female_wand.33	あの…確かに効果がないとは言いませんが…、<br/>想像以上に効果が落ちてきています…。<br/>…こんな事を言うのもおこがましいのですが…。<br/>もう少し良いものが…いただければ…。|…修理できたましたが…、<br/>少し傷んできた部分もあります…。<br/>…やはりその武器では…ちょっと…その…無理が…。|ああ…やはりここまでが限界なのでしょうか…？<br/>修理は致しましたが…失敗した部分もあります…。<br/>で、でも…<username/>さんがくれた武器は…精一杯活用しようと…。|…修理が、その…うまくできなくて…。<br/>耐久力が少し下がってしまいました…。<br/>その、いただける武器が…もう少し熟練が高ければ…と…あっ、ご、ごめんなさい…！|修理したのですが…耐久力が…少し下がってしまいました…。<br/>あの、精一杯やったのですが…すみません…。
ego_female_wand.34	<face name='bad2'/>…えぇ！？　そ、そんな…。<br/>…申し訳ありません、修理に失敗して…しまいました…。<br/>…私、私…どうすれば…ううっ…。|<face name='bad1'/>…あ…うう…。<br/>…あの…努力はしたのですが…やはりこの武器では…。|<face name='bad2'/>…大変申し上げにくいのですが…修理、完全に失敗です…。<br/>もう少し熟練度が高ければ…いえ、私のせいです、ごめんなさい…。|<face name='bad2'/>あっ…まさか…やっぱり…！<br/>…頑張ったのですが…これでは修理ができませんでした…。<br/>もし…熟練度の高い武器を頂けたなら…、<br/>次こそは…必ず…。|<face name='bad2'/>…大変、どうしましょう…修理がうまくいかなかったわ…。<br/>…いえ、正直に言ます…完全に失敗です…。<br/>ご、ごめんなさい…つ、次は頑張りますから！<br/>…次は…きっと…グスン。|<face name='bad2'/>…あっ、そんな…！<br/>私も…ここまでダメだとは思いませんでした…。<br/>…もっと熟練が高ければ…あ、いえ、あなたのせいではありませんよね…。
ego_female_wand.35	あの…とくに拘りはないのですが…。<br/>修理に使うからといって、<br/>あまりにも大事なものを頂いてしまうと<br/>もうお返しできませんので…充分気をつけてください…。|今頂いたものでは、その…修理できないんです…ごめんなさい。<br/>これは…いけません！　このような大切なもの…。|修理をしたいのでしたら、今渡されたものでは無理ですわね…。<br/>あまりにも大事なアイテムですから、これを使うときっと…。<br/>…その…後で私、嫌われてしまうのでは…ないかと…。|こんな大事な武器で修理していただけるなんて…。<br/>嬉しい…でも…やっぱり、他のものにしませんか…？|私は知っています…。<br/>修理で使うには、あまりにも大事なものだと…。<br/>他の武器にしませんか…？
ego_female_wand.36	あの…またの機会に…ということでしょうか…？<br/>…いえ、それは別に…構わないのですが…。|もし、修理に使う武器が選びにくい…ということでしたら、<br/>早く適当なワンドの熟練度を高めるのがよろしいかと…。|…しばらくは耐えられますが、熟練度の高いワンド無しでは<br/>元々の状態に回復できないかもしれません…。<br/>できれば…その…お急ぎください。|…そうですか…またいずれ、修理してくださいね。|…今修理するよりは、<br/>きちんとアイテムを準備してからのほうが<br/>良いとお考えのようですね。<br/>…分かりました、それまで私、お待ちしております…。
ego_female_wand.37	あの…またの機会に…ということでしょうか…？<br/>…いえ、それは別に…構わないのですが…。|もし、修理に使う武器が選びにくい…ということでしたら、<br/>早く適当なワンドの熟練度を高めるのがよろしいかと…。|…しばらくは耐えられますが、熟練度の高いワンド無しでは<br/>元々の状態に回復できないかもしれません…。<br/>できれば…その…お急ぎください。|…そうですか…またいずれ、修理してくださいね。|…今修理するよりは、<br/>きちんとアイテムを準備してからのほうが<br/>良いとお考えのようですね。<br/>…分かりました、それまで私、お待ちしております…。
ego_female_wand.38	…私に聞きたいこと…何でしょう？|…私…何についてお答えすればいいのかしら…？|…お話ししてみてください。できるかぎりの回答をさせていただきますわ。|…お伺いします、何でもおっしゃってくださいな。|…私がお助けできることでしたら良いのですが…<username/>さん。|…何でしょうか？
ego_female_wand.39	<button title='End' keyword='@end' />
ego_female_wand.40	では、また後ほど…。|それでは…。|お話はお終いですか？　では、私はこれで…。|はい、戻ります…。|もうお話、終わりなんですね…。|…もう話すことはないようですので、これで…。|…分かりました。では、また今度お話しましょう。|…それでは、私は戻ることにしますね。|…もしまた必要になりましたら、いつでも呼んでくださいね…。
ego_female_wand.41	では、また後ほど…。|それでは…。|お話はお終いですか？　では、私はこれで…。|はい、戻ります…。|もうお話、終わりなんですね…。|…もう話すことはないようですので、これで…。|…分かりました。では、また今度お話しましょう。|…それでは、私は戻ることにしますね。|…もしまた必要になりましたら、いつでも呼んでくださいね…。
ego_female_wand.42	私はワンドに宿っている精霊…。<br/>元々は実体がないのですが、<br/>あなたと交感できたから…人の姿であなたの前に現れることができたのです…。<br/>畏まったお話で恐縮ですが…この縁を大事にしていただけると、その…嬉しく思います。<p/>…縁を大事にしていただけない人を信じるのは…。<br/>精霊にとって…とても悲しいことなんです…。|あら…もしかして、肩についてるこれが気になっているのでしょうか？<br/>一見、翼だと思うかもしれませんが…、<br/>これは、翼というよりは証のようなものなんです…。<p/>…この世界で、<br/>武器に宿る存在として生きて行くことの証…。|ワンド、それはマナの流れをコントロールする道具…。<br/>マナの流れを理解することは、<br/>とても繊細な感覚ということ…ご存知でしょうか…？<p/>複雑な分、やりがいがあることだと<br/>思っていただけなかったら…、<br/>おそらく<username/>さんとは出会えなかったかもしれませんね。<p/>…ふふっ、この縁を大切に思ってください…。|今の私の姿は、あなたの意思と交感するもの…。<br/>私の姿の大部分は、契約を結んだあなたが思う<br/>精霊の姿と似ているはずです…。<p/>ふふ、メガネをかけた精霊なんて実際にはいませんけど、<br/>あなたがその姿を優しく思っていたから…、<br/>この姿であなたの前に現れることができたんですよ。
ego_female_wand.43	<username/>さんが旅行日誌を持っているのと一緒で、<br/>私はこの本に、私が見て…聞いて…重要だと思ったことを<br/>メモしておくようにしています。<p/><username/>さんと話す時に答えられるのも、<br/>少なくともある部分では、この本の役割が大きいのです…。<p/>…もちろん、精霊用に本があるなんてことは実際にはありませんが、<br/>それもあなたの意識との交感で作られたものなのです…。<br/>あの…分かっていただけますでしょうか…？|ワンドの精霊の中には、<br/>男の子の姿をしているものもあります。<p/>人に慣れてない可愛い子供の姿ですが…。<br/>真っ直ぐな性格ながら、たくましい面もありますから、<br/>もし会うことがあったら、優しく接してあげてくださいね…。<p/>…あ…待って、あの…まさか、<br/>私との契約を解除して…ワンドの精霊を<br/>変えるつもりでは…ないですよね？|精霊が…あなたの持っているワンドの周りに光を出す時は、<br/>精霊の祝福を与えているということなんです。<p/>たとえ、まだあなたに多くの助けることができなくとも…、<br/>その光は、いつかあなたが会う運命の瞬間、<br/>あなたが信じて、頼れるものは何だろう、と…、<br/>もう一度考えさせることになると思います…。<p/>ですから、普段…私が宿っているワンドに…、<br/>もっと関心を持っていただければと…。|そのうち…私の外見に飽きることも…もちろんあると思います。<br/>でも、外見自体は…人である<br/><username/>さんには大事かもしれませんが、<br/>私にとっては…それほど重要なことではありませんので…。<p/>…なんとなく、人の<username/>さんには<br/>言っていることがうまく伝わらないかもしれませんが…。
ego_female_wand.44	だんだん色んなことが解ってくるにつれ、<br/>なんだか<username/>さんと初めて出会った頃を<br/>懐かしく思うようになりました…。<p/><face name='sorry'/>以前は、こんなこと…思ったこともないのに…。<br/>…なぜでしょう、あのころが懐かしく思えるなんて…。|時には…こんなことも思います。<br/>私が知っている全て、<br/>私が経験してる全てを<br/><username/>さんと分け合えたら…どんなに幸せかしらって…。<p/>…でも、武器に宿る精霊としてこんなことを思うのは、<br/>贅沢…わがままですよね…ふふっ…。<br/>私も…分かっていますから…。|<face name='good'/>あの、もし…本当に、もし、ですが…、<br/>私が人になったら…、<br/>人として生まれ変われるとしたら…、<br/>どう思いますか…？<p/>…。<p/>いえ、あの、そんなお顔をなさらないで…。<p/>私は…こう思うんです…。<br/>なんとなく…私はこの世界をもっと知るために…、<br/><username/>さんだけではなく、ほかの精霊武器として契約して、<br/>彼と心を分け合う時が来てしまうんじゃないかって…。|<face name='good'/>私…外見は若く見えますが…、<br/>…精霊の寿命はあってないようなものですから…。<br/>人には想像もつかないくらいの…。<p/>精霊の寿命があまりにも長いためか、<br/>意味もなく、ぼーっとしている時間も多いんです。<br/>そういう時、私の生きる意味を考えるたびに<br/>思い浮かぶのは…人の生き方なんです…。<p/>短いがゆえに、激しく、何よりも輝く人生…。<br/>でも…皆さん、自分達の人生がどういうものなのか、<br/>しっかりとは分かっていらっしゃらないようです…。<p/>…<username/>さん…時にはこんなことも考えます。<br/>急がず…すぐ怒ったり、悲しんだりせず…。<br/>その時、その時の楽しみと嬉しさに感謝して生きること…。<br/>それが完全なる形の人生ってものなんじゃないかしらって…。<p/>この世を創った神は…。<br/>人に、そんな人生をおくる存在になってほしくて<br/>今日も待ってるんじゃないかしらって…。<p/><face name='bad2'/>全てのことに怒って、不満を言って、<br/>他人を嫌う生き方は…。<p/><face name='bad2'/>それなりに価値はあるかもしれませんが、<br/>そうして生きるには、あまりにも人の人生は<br/>短過ぎるのではないか、と…。<p/><face name='sorry'/>…あ、あの、私…また何を言っているのでしょうか…。<br/>いえ、その…お気になさらず…。
ego_female_wand.45	精霊と言っても、実際は…、<br/>私達のように武器に宿る精霊と<br/>大自然の意思で現れる精霊とでは差があります。<br/>あえて言うなら、彼らの力は私たちよりはるかに大きいものです…。<p/>あの…その…がっかりされたかもしれませんが…、<br/>武器に宿る精霊も、<br/>それほど弱いわけではありませんので…。<p/>契約を結んだ人と精霊が、<br/>お互いの呼吸を合わせて交感する時…、<br/>その人が得られる力は<br/>自然界の精霊に匹敵するほどのものとなります…。<p/>あ、でも…力だけを追求するのも、ちょっと…悲しいですよね…。|精霊武器を修理する時に使う『精霊のリキュール』は、霊的な物質なんです。<br/>精霊だけでなく、人の魂をも活性化させる力があります。<br/>時にはそれが…人達の怨念を吸い込んだりもして、<br/>全然違う結果を出すこともあるようですが…。<p/>つまり…精霊のリキュールを使う時は、<br/>取り扱いに注意していただければ、と…。|精霊武器の修理の際、<br/>なぜ熟練度の高い武器が必要なのか、ということについて<br/>聞いたことはおありですか…？<p/>熟練度の高い武器というのは、<br/>使う人の習慣やスタイルが武器に多く染み込んでいます。<br/>別の言葉で表すなら、使う人のエルグが<br/>武器に染み込んでいる、ということですね…。<p/>武器に宿る精霊は、このエルグから<br/>武器の特性を理解し、<br/>武器を成してる物質を再構成するんです。<p/>…ですから、熟練度の高い武器はつまり、<br/>精霊により多くの知識と能力を補填して、<br/>武器を再生・再構築する原動力になるものなんです。
ego_female_wand.46	人が作ったお話の中には、<br/>自らの意思を持った武器や、<br/>使用する人間を操ってしまう<br/>恐ろしい武器といったお話があると聞きました。<p/>…きっと人々があたしたち精霊武器について感じる<br/>いろいろな気持ちが、そのお話のなかには<br/>こめられているのでしょうね。<p/>…。<p/>…もちろん、人を操ったりなんてことはしませんけど、<br/><username/>さんと私が出会ってから<br/>お互いに影響を受けているところがいろいろあると思うんです。<p/>そう言った意味では、主に影響を与えているって話も<br/>当たっているのかもしれませんね、ふふっ。<br/><username/>さんはどう思います？|精霊は自然の力が<br/>人に視える形に具現化した存在です。<br/>そして、精霊は自然のささやきを聞くことができるのです。<p/>…<username/>さんは私が吸収できるように<br/>色々持ってきてくださいますが、<br/>それはきっとこの世界を理解する助けになると思います…。<p/>主が自然と一体となり、この世界を正しく理解しようとするとき、<br/>精霊はもっとも力を発揮します。<p/>忘れないでくださいね…力になれるようにがんばりますから。|前は<username/>さんの話にただ答えるのが<br/>あたしの使命だと考えていましたが…今はちょっと違う気がしています。<br/>もっとこう…使命とかじゃなくて相手を大切に思うから<br/>問いにきちんと答えたくなるというか･･･。<p/>でも…<username/>さんはそんなことは考えたことはないですか？<p/>…。<p/>あっ…す、すみません。あたし、何を言ってるんでしょう…。<br/>忘れてください、ううー。
ego_female_wand.47	ケオ島というところには<br/>水の精霊がいるそうです。<p/>水の精霊と言っても、<br/>私たちのように人の持ちものに宿る<br/>ものとはまた違う存在らしいです。<p/>武器に宿る精霊についてはお話しすることはできますが、<br/>アルのように一箇所に残ってる精霊については<br/>よく知らないのです。|光の騎士パラディン…。<br/>パラディンの鎧には精霊の力が染み込んでるそうです…。<br/>私たちのように話し合える存在ではないようですが。<p/><face name='good'/>もし、話せるなら、<br/><username/>さんの良い仲間となってくれそうですが…。<p/>…やっぱり無理でしょうか？|人々は自然という言葉を使う時、<br/>自分達もその自然の一部であるということを<br/>忘れていると思うことがあります。<p/>人も、獣も、精霊も、みんな自然の一部のはずなのに、<br/>人の心の中のなにが、彼らを自然と別のものと<br/>思わせてしまうのでしょうか。<p/>…<username/>さんはどうですか…？<br/>自らを自然の一部だと思っていますか？<br/>それとも…自然を人とは別の存在だって<br/>思っていますか…？<p/>…はっきりする必要はないとおもいますけど、<br/><username/>さんと話していると<br/>なぜかそんなことを考えてしまうんです。<p/>…ごめんなさい、ふふっ。
ego_female_wand.48	スキルについて知りたいのですか…？<br/>ワンドを使うので、<br/>魔法について聞くものと思っていましたが…。<p/>ふふっ、冗談です。<br/>人は、先人から何かを習うらしいですね。<br/>この世界ではもしかして、魔法を教えてくれる先生というのもいるのかしら…？<p/>…いるのでしたら、そういう人と話してみるのも<br/>魔法を身に付ける一つの方法だと思います。
ego_female_wand.49	まあ…私からクエストを受けたいとおっしゃるのですか…？<p/>…いえ、あの…それはよろしくないと思います…。<br/>契約を結んだマスターの立場ならば、<br/>何より自分の力で先に進むべきではないかと…。<p/>精霊の宿る武器を持っているからといって、<br/>それに頼り過ぎるのは良くないことだと思います…。
ego_female_wand.50	雑貨屋は…文字通り、雑貨を売っている所では…？<br/>あの…もっと詳しくお知りになりたいのでしたら、<br/>…と、とりあえず、そこで売ってるもの…何でもよろしいので<br/>私に吸収させてくださると…なんて、あの…ダメですよね…。
ego_female_wand.51	ええと…雑貨屋について知りたいのですね？<br/>そうすると…やはり物を安く買える方法に興味があるのでしょうか？<p/>物を安く仕入れる方法には色々ありますが、<br/>まず、雑貨屋で買うことを考えるのでしたら…、<br/>アルバンエルベドを使うのも良い方法ではないでしょうか。<br/>この時は、全てのアイテムの値段が少しずつ下がりますので…。<p/>…その代わり、物を売る時も一緒ですから、充分お気をつけください。<p/>つまり、アルバンエルベドに物をたくさん買っておき、<br/>別の日に使うように心がけることで…、<br/>少しでも費用を節約できるということですね。<p/><face name='smile2'/>…私も結構使わせてしまっていますから、<br/>こういった豆知識で少しでも貢献しませんとね…ふふっ。
ego_female_wand.52	あの…もしかして…私にプレゼントしようと思って、<br/>何か買いに行かれるのでしょうか…？<br/>…ああ、嬉しいです…ふふふっ。<p/><username/>さんに…こんな気にかけていただけるようになるなんて…。<br/>…あ、誤解…しないでくださいね。<br/>…以前からそういう方でしたよね…ごめんなさい。ふふっ。
ego_female_wand.53	食料品店…ですか？<br/>ええ、人が料理の材料や<br/>食べ物を買う所だと聞いています…。<p/><face name='good'/>あの…もっとお知りになりたいのでしたら…、<br/>その、何でも構いませんので、<br/>私に吸収させてください…。<br/>…あなたの世界についてもっと解るようになりたいんです…。
ego_female_wand.54	食べ物は…何でもよく食べないといけません。<br/>一つだけに偏って食するのは、<br/>健康に悪いですから…。<p/>きちんとバランスよく、栄養を考えながら食べたほうが良いでしょう。<br/>食料品店へ行くことになったら、必ずこの事を思い出してくださいね。
ego_female_wand.55	私達精霊がものを吸収して<br/>世の中の秩序に同化し…それを理解するように、<br/>人は料理を食べて、<br/>世の中の秩序を身体で覚えるのです。<p/>…実際に…太ったり、痩せたり…、<br/>食べ物によって個人の能力が変わることも、<br/>ここから始まることだ…って思いますよ。<p/><face name='good'/>…だから、自分の身体を大事にするなら、<br/>レベルが高く、質の良い料理を食べたほうがいいですわね。
ego_female_wand.56	あの…ちょうど以前に書き留めておいたメモがありますので、読ませて頂きます…。<br/>ヒーラーの家は、人の病や<br/>傷を治すヒーラーがいる所です。<br/>具合が悪い時に行くと、色々と助けていただけるそうよ。<p/>…でも、この世界ではだいたいそうですが、<br/>その後は、何かお礼をしなくてはならない、と…。<br/>あ…これは、<username/>さんのほうがよくご存知ですよね…。<p/>私の話…もっと詳しくお聞きになりたいのでしたら…、<br/>何でもよろしいので、エリンのものを吸収させてくださいね。<br/>また何か分かりましたら、すぐお伝えします。
ego_female_wand.57	ヒーラーは、人を治療するために<br/>専門的な教育を受けた人のことですね…。<br/>もし身体に異常があったり、<br/>何か問題が起きましたら、必ず相談してみてください。<p/><face name='good'/>…人は精霊の身体と違って<br/>疲れやすいですし、すぐ傷を負ってしまいますから…。<br/>いかがでしょう？　健康にはお気をつけくださいませ…。
ego_female_wand.58	ヒーラーの家で販売されているポーションは…、<br/>体力やマナなどをすぐ回復させるのに便利です。<br/>とくに、ダンジョンへ入る時は…多めに持って行くと<br/>結構助かると思います…。<p/><face name='good'/>…でも、気をつけることもありますよ。<br/>ポーションを飲み過ぎると、<br/>肉体がポーションの効果にすぐ慣れてしまい、<br/>中毒になる可能性もありますから…。<p/>…だいたいの事柄に言えることですが、<br/>人の体はデリケートな存在…。<br/>無理は禁物です。<br/>私も、傍で…お守りさせて頂きます…<username/>さんを…。
ego_female_wand.59	トレーニングで体を鍛えると、<br/>時には人本来の能力よりはるかに強い力を<br/>その肉体の主に与えたりもしますが…。<p/>人の肉体は、本来とてもデリケートですから、<br/>それを過信するのは良くないことです…。<p/>もし、すぐ疲れが来たり、<br/>長い間お仕事をして大変だと感じるようになりましたら、<br/>旅館に行って、癒す方法を聞いてみるのも<br/>良い選択だと思います…。<p/>…もっと詳しく知りたいときは、<br/>私に…この世界について解るようなアイテムを少し頂ければ、と…。<br/>そうすれば、もっと色々な観点からアドバイスできると…思います…。
ego_female_wand.60	旅館は、旅人のために<br/>作られた場所です…。<p/>でも、実際…人はキャンプを使ったり<br/>焚き火を使ったりして野宿する場合が多く…、<br/>そんなに儲かるようには見えませんね。<p/>…でも、きちんと宿を維持しているということは…、<br/>人は、お金が全てというわけではない…ということでしょうか。<br/>もっとも…お金が全て、と言っている人もいるようですが…。<p/><face name='good'/>…<username/>さんは、どちらなのかしら…？
ego_female_wand.61	旅館は…旅人がよく通う所ですから、<br/>旅人でなくとも、宿の主人と話をしてみれば<br/>辺りで起きていることについて色々と使える情報が<br/>得られるかもしれませんね…。<p/><username/>さんは賢いから、<br/>私が何を言いたいのか分かると思います…。
ego_female_wand.62	銀行…お金を少しもらうかわりに、アイテムとか<br/>お金を保管してくれる所ですね。<br/>銀行の支店同士はアイテムの転送もできると<br/>以前聞いたことがあります。<p/>ですが、それ以上はまだわからないのです。<br/>もしよろしければ、この世界のものをなにかいただけますか？<br/>この世界のものを吸収すれば、<br/>もう少しなにかわかるかもしれません。
ego_female_wand.63	銀行とは、もともと土手や堤のことだそうです。<br/>ご存知とは思いますが、土手、堤は<br/>人の生存に必要な水を管理するためのものです。<p/>それがいつのまにか、水ではなく、<br/>お金や持ち物といった財産を<br/>管理するところの名前として使われるように<br/>なったんですね。<p/>ふふっ、面白いですね。
ego_female_wand.64	銀行という言うところは<br/>アスキンって人が始めたそうです。<br/>それで、この世界でのすべての銀行には<br/>アスキン銀行という名前が付いているのだそうです。<p/>それにしても…人間の方たちは<br/>いろいろなものに名前を付けるのが好きですよね。<p/><face name='smile3'/>そう言えば、私の名前も<username/>さんにつけていただいたんでしたね、ふふっ。
ego_female_wand.65	えーと…<br/>鍛冶屋は鉄で何かを作るための場所みたいです。<br/>冒険者や旅人には武器の販売や修理が<br/>できるところとして知られているそうです。<p/>私が教えられるのはこれくらいしか…不勉強ですみません…。<br/>でも、鍛冶屋で扱っているものを吸収すれば、<br/>もうちょっと詳しくお話できると思います。
ego_female_wand.66	以前見た鍛冶屋では、木炭を入れた釜に<br/>ふいごで空気を入れて温度を上げながら、<br/>鉄を熱してハンマーで鉄を叩いていました。<br/>適切な温度で良い鍛え方をすると、強い鉄となるそうです。<p/>ベテランの旅人さんはその「カーン、カーン」って音を聞いて<br/>町がどちらの方向にあるか判断したりもするらしいです。<br/><username/>さんも、もしかしてそういったことをされたりします？
ego_female_wand.67	鍛冶屋についてもうすこしお知りになりたいのですか？<br/>私のような精霊が宿る武器は<br/>修理に鍛冶屋まで行く必要がないので詳しくは…。<p/><face name='sorry'/>普通の武器も修理する必要はあるかと思いますが…。<br/>できましたら、時にはあたしのチェックもお願いいたします。<br/>
ego_female_wand.68	休憩スキル…それについては<br/>たしか以前、メモをしたはず…。<br/>…あっ、これです！えーと…<p/>Ｓキーを押すとスキルウインドウが出ます。<br/>そこで休憩スキルを選択すると<br/>そのスキルに関する説明が読める…そうです。<p/><face name='bad1'/>ああ、そんなガッカリしたような顔をされると…。<br/>…正直、まだこの世界に慣れていなくて…、<br/>どの情報が<username/>さんにとって必要なのか<br/>判断がつかないのです…。
ego_female_wand.69	休憩スキルは、肉体の疲労をいやすスキルです。<p/>人の身体は、ほうっておくとどこかにいってしまう魂を<br/>つなぎとめておく器のようなもの。<br/>身体が病んで疲れてしまうと<br/>その魂をつなぎとめておくことができなくなってしまいます…<p/>人は精霊とは違って、<br/>身体という物質に頼っています。<br/>その身体をリラックスさせるやり方、<br/>それを学ぶのが休憩スキルです。<p/>座っているだけでもいいですが、<br/>さらに焚き火で温まれば、<br/>より高い効果を得られます。<p/><face name='bad1'/>…ふぅ、こうして説明してみると<br/>やはり人というのはとてもデリケートなものだと感じます。<br/><username/>さんもそう思いませんか？
ego_female_wand.70	休憩スキルはランクが上がれば上がるほど<br/>生命力とスタミナが早く回復します。<p/>…つまり、休憩スキルのランクが高い人は<br/>ランクが低い人よりもより多く活動できるということですね。<p/><face name='smile3'/>楽しい生活のために、できればランクをあげておきたいですね。<br/>
ego_female_wand.71	レンジアタックスキル…<br/>少々お待ちください…。<p/><face name='bad1'/>あら…。<br/><face name='relief'/>たしかここに書き留めておいたはず…。<p/>えー…すみません、いまはお答えすることができません。<br/>書き留めておいたメモが見つかったら、そのときご説明します。
ego_female_wand.72	はい、レンジアタックスキルは<br/>遠く離れてる敵を攻撃できるスキルです。<p/>弓を装備すれば、自然と理解できると思います。<br/>でも、弓やクロスボウがなければ、<br/>このスキルは使用できません。<p/>精霊と違って人は物質を基本としていますから<br/>これはしかたのないところですね。
ego_female_wand.73	遠距離攻撃はレンジアタックが<br/>一番重要だと考える方が多いようですが…<p/>魔法でも遠い距離から攻撃することはできるのに<p/>レンジアタックに興味を示す人が多いのは、<br/>魔法ではできない、弓でだけできる<br/>何かがあるんじゃないでしょうか。<p/><face name='smile3'/>…じつは私にはよくわからないんですけどね、ふふっ。
ego_female_wand.74	弓？<br/>…弓については私はくわしくないのですが…<p/>お知りになりたいのでしたら調べておきます。
ego_female_wand.75	<face name='preach'/>弓は丈夫な木を削り出して<br/>弾性を引き出した状態で弦をかけて、<br/>鋭い矢先が付いた矢を飛ばす武器です。<p/><face name='wrath'/>魔法と違って弦と木の弾性を<br/>利用した武器で、ワンドに比べると、<br/>野蛮と言いますか品格が落ちると言いますか…。<br/>正直…あまり好きではありません。<p/><face name='wrath'/>…。<p/><face name='bad2'/>(Somehow the wand's spirit is strange.)
ego_female_wand.76	遠くにいる相手を攻撃する方法は<br/>弓と矢を装備して飛ばす方法と<br/>ライトニングボルト、ファイアーボルトやアイスボルトのような<br/>魔法を使って攻撃する方法があります。<p/>神秘的なマナの力をコントロールして<br/>優雅に攻撃をおこなうワンドとは違って<br/>弓は人の腕の力を頼りにして<br/>矢を飛ばすだけの武器…。<p/><face name='bad2'/>どちらが品格が高いか、<br/>改めて説明する必要もないですよね。
ego_female_wand.77	楽器演奏スキルですか？<br/>そうですね…私もたいしたことは知らないのですが…。<p/>なにか知識を吸収できるようなものをいただければ<br/>わかるようになるかもしれません。
ego_female_wand.78	はい、楽器演奏スキルですね。<br/>楽器の演奏というのは、大自然の息吹のようなものです。<br/>流れる水、吹きわたる風、小鳥のさえずり、虫の声…。<br/>そうした自然の音に似せて作ったものが楽器なのだそうです。<p/>もし、このスキルに興味がおありでしたら、<br/>まず楽器をお求めになってはいかがでしょう。<p/>あ！楽器で音楽を演奏する道具なら、<br/>ワンドは魔法を演奏する道具っていうのは…<p/><face name='bad1'/>…えー…つまらないことを申しました。<br/>すみません…。
ego_female_wand.79	楽器演奏スキルについて興味がおありでしたら、<br/>とりあえず、町や都市に行って、<br/>詳しそうな人に聞いたほうが良いかもしれません。<p/>楽器を弾かない精霊が説明するには<br/>どうしても無理がありますので…。
ego_female_wand.80	リュート？楽器ですね？<br/>調べておきますので、少しお待ちいただけますか？<br/>今の私の知識だけでは説明しづらいところがありますので…。
ego_female_wand.81	ご存知だとは思いますが、リュートは楽器の一種です。<br/>人が自然の音を真似て作ったもののひとつですね。<p/>木桶に弦を付けて音が響くようにしたのが始まりとのことですが、<br/>こんな奇想天外なことを思いつくのは<br/>人以外のなにかではないかという気もします。<p/><username/>さんはどう思われますか？
ego_female_wand.82	作曲スキルですか？<br/>ちょうど以前書いたメモが見つかったところです。<p/>えーと…「曲を作る時に使うスキルです」…。<p/>えーと…えーと…すみません！<br/>でも、何か<username/>さんの世界が<br/>もっとわかるようなものをいただければ…<br/>もっと詳しく答えられるかもしれません。
